parameter,value
model_name,Baseline_CNN
training_samples,5000
validation_samples,Validation split will be created during training
test_samples,1000
input_width,224
input_height,224
input_channels,3
batch_size,32
maximum_epochs,30
optimizer,Adam
initial_learning_rate,0.001
loss_function,SparseCategoricalCrossentropy
monitor_metric,val_loss
early_stopping_patience,7
early_stopping_mode,min
reduce_lr_patience,3
reduce_lr_factor,0.5
minimum_learning_rate,1e-07
checkpoint_mode,min
random_seed,42
class_weighting,Balanced inverse-frequency weights
